POST /api/v1/tasks 500 , header-size: 255 bytes , response-body: 60 bytes - 0.278 ms
PUT /api/v1/tasks/6459d9981199f1e243ca36bd 200 , header-size: 372 bytes , response-body: 135 bytes - 6.143 ms
POST /api/v1/users/register 201 , header-size: 198 bytes , response-body: 217 bytes - 18.508 ms
POST /api/v1/users/register 422 , header-size: 198 bytes , response-body: 70 bytes - 3.030 ms
POST /api/v1/users/login 200 , header-size: 198 bytes , response-body: 193 bytes - 6.049 ms
POST /api/v1/users/login 400 , header-size: 198 bytes , response-body: 65 bytes - 2.250 ms
GET /api/v1/tasks 200 , header-size: 316 bytes , response-body: 11 bytes - 5.228 ms
GET /api/v1/tasks 500 , header-size: 199 bytes , response-body: 60 bytes - 0.298 ms
POST /api/v1/tasks 201 , header-size: 372 bytes , response-body: 155 bytes - 4.632 ms
POST /api/v1/tasks 500 , header-size: 255 bytes , response-body: 60 bytes - 0.194 ms
PUT /api/v1/tasks/6459d9ad39281cd39b4fc658 200 , header-size: 372 bytes , response-body: 135 bytes - 6.169 ms
POST /api/v1/users/register 201 , header-size: 198 bytes , response-body: 217 bytes - 19.282 ms
POST /api/v1/users/register 422 , header-size: 198 bytes , response-body: 70 bytes - 3.056 ms
POST /api/v1/users/login 200 , header-size: 198 bytes , response-body: 193 bytes - 5.998 ms
POST /api/v1/users/login 400 , header-size: 198 bytes , response-body: 65 bytes - 1.981 ms
GET /api/v1/tasks 200 , header-size: 316 bytes , response-body: 11 bytes - 5.419 ms
GET /api/v1/tasks 500 , header-size: 199 bytes , response-body: 60 bytes - 0.340 ms
POST /api/v1/tasks 201 , header-size: 372 bytes , response-body: 155 bytes - 4.599 ms
POST /api/v1/tasks 500 , header-size: 255 bytes , response-body: 60 bytes - 0.198 ms
PUT /api/v1/tasks/6459d9b6a2609481371fd53d 200 , header-size: 372 bytes , response-body: 135 bytes - 5.566 ms
PUT /api/v1/tasks/6459d9b6a2609481371fd53d 500 , header-size: 255 bytes , response-body: 60 bytes - 0.361 ms
DELETE /api/v1/tasks/6459d9b6a2609481371fd53d 500 , header-size: 199 bytes , response-body: 60 bytes - 0.216 ms
DELETE /api/v1/tasks/6459d9b6a2609481371fd53d 200 , header-size: 316 bytes , response-body: 20 bytes - 6.363 ms
POST /api/v1/users/register 201 , header-size: 198 bytes , response-body: 217 bytes - 10.609 ms
POST /api/v1/users/register 422 , header-size: 198 bytes , response-body: 70 bytes - 3.234 ms
POST /api/v1/users/login 200 , header-size: 198 bytes , response-body: 193 bytes - 7.567 ms
POST /api/v1/users/login 400 , header-size: 198 bytes , response-body: 65 bytes - 1.964 ms
GET /api/v1/tasks 200 , header-size: 316 bytes , response-body: 11 bytes - 4.119 ms
GET /api/v1/tasks 500 , header-size: 199 bytes , response-body: 60 bytes - 0.217 ms
POST /api/v1/tasks 201 , header-size: 372 bytes , response-body: 155 bytes - 3.240 ms
POST /api/v1/tasks 500 , header-size: 255 bytes , response-body: 60 bytes - 0.220 ms
PUT /api/v1/tasks/6459d9d0a2609481371fd54f 200 , header-size: 372 bytes , response-body: 135 bytes - 5.794 ms
PUT /api/v1/tasks/6459d9d0a2609481371fd54f 500 , header-size: 255 bytes , response-body: 60 bytes - 0.268 ms
DELETE /api/v1/tasks/6459d9d0a2609481371fd54f 500 , header-size: 199 bytes , response-body: 60 bytes - 0.201 ms
DELETE /api/v1/tasks/6459d9d0a2609481371fd54f 200 , header-size: 316 bytes , response-body: 20 bytes - 4.244 ms
POST /api/v1/users/register 201 , header-size: 198 bytes , response-body: 217 bytes - 5.555 ms
POST /api/v1/users/register 422 , header-size: 198 bytes , response-body: 70 bytes - 3.570 ms
POST /api/v1/users/login 200 , header-size: 198 bytes , response-body: 193 bytes - 5.055 ms
POST /api/v1/users/login 400 , header-size: 198 bytes , response-body: 65 bytes - 2.268 ms
GET /api/v1/tasks 200 , header-size: 316 bytes , response-body: 11 bytes - 5.585 ms
GET /api/v1/tasks 500 , header-size: 199 bytes , response-body: 60 bytes - 0.295 ms
POST /api/v1/tasks 201 , header-size: 372 bytes , response-body: 155 bytes - 4.125 ms
POST /api/v1/tasks 500 , header-size: 255 bytes , response-body: 60 bytes - 0.241 ms
PUT /api/v1/tasks/6459d9d6a2609481371fd561 200 , header-size: 372 bytes , response-body: 135 bytes - 4.437 ms
PUT /api/v1/tasks/6459d9d6a2609481371fd561 500 , header-size: 255 bytes , response-body: 60 bytes - 0.273 ms
DELETE /api/v1/tasks/6459d9d6a2609481371fd561 500 , header-size: 199 bytes , response-body: 60 bytes - 0.260 ms
DELETE /api/v1/tasks/6459d9d6a2609481371fd561 200 , header-size: 316 bytes , response-body: 20 bytes - 8.988 ms
POST /api/v1/users/register 201 , header-size: 198 bytes , response-body: 217 bytes - 9.591 ms
POST /api/v1/users/register 422 , header-size: 198 bytes , response-body: 70 bytes - 2.926 ms
POST /api/v1/users/login 200 , header-size: 198 bytes , response-body: 193 bytes - 8.409 ms
POST /api/v1/users/login 400 , header-size: 198 bytes , response-body: 65 bytes - 4.893 ms
GET /api/v1/tasks 200 , header-size: 316 bytes , response-body: 11 bytes - 5.395 ms
GET /api/v1/tasks 500 , header-size: 199 bytes , response-body: 60 bytes - 0.429 ms
POST /api/v1/tasks 201 , header-size: 372 bytes , response-body: 155 bytes - 4.910 ms
POST /api/v1/tasks 500 , header-size: 255 bytes , response-body: 60 bytes - 0.293 ms
PUT /api/v1/tasks/6459d9fda2609481371fd573 200 , header-size: 372 bytes , response-body: 135 bytes - 10.941 ms
PUT /api/v1/tasks/6459d9fda2609481371fd573 500 , header-size: 255 bytes , response-body: 60 bytes - 0.440 ms
DELETE /api/v1/tasks/6459d9fda2609481371fd573 500 , header-size: 199 bytes , response-body: 60 bytes - 0.468 ms
DELETE /api/v1/tasks/6459d9fda2609481371fd573 200 , header-size: 316 bytes , response-body: 20 bytes - 6.460 ms
