POST,/api/v1/users/register,201,198,217,542.320
POST,/api/v1/users/register,422,198,70,20.535
POST,/api/v1/users/login,200,198,1856,186.499
POST,/api/v1/users/login,400,198,65,3.775
GET,/api/v1/tasks,200,1979,11,44.541
GET,/api/v1/tasks,401,199,25,6.772
POST,/api/v1/tasks,201,2035,155,21.004
POST,/api/v1/tasks,401,255,25,0.626
PUT,/api/v1/tasks/645a21323e8182be259f3fa1,200,2035,135,31.645
PUT,/api/v1/tasks/645a21323e8182be259f3fa1,401,255,25,0.475
DELETE,/api/v1/tasks/645a21323e8182be259f3fa1,401,199,25,0.522
DELETE,/api/v1/tasks/645a21323e8182be259f3fa1,200,1979,20,15.714
POST,/api/v1/users/register,201,684,133,104.671
POST,/api/v1/users/login,200,684,1856,36.517
GET,/api/v1/tasks,304,2520,0,10.283
GET,/api/v1/tasks,304,2520,0,13.613
POST,/api/v1/tasks,201,2522,139,8.603
GET,/api/v1/tasks,200,2466,122,8.564
PUT,/api/v1/tasks/645a2987bf69d42114b9f2b6,200,2522,119,45.329
GET,/api/v1/tasks,200,2521,121,22.281
DELETE,/api/v1/tasks/645a2987bf69d42114b9f2b6,200,2466,20,33.579
GET,/api/v1/tasks,200,2521,11,17.677
GET,/api/v1/tasks,304,2520,0,18.054
GET,/api/v1/tasks,304,2520,0,13.065
GET,/api/v1/tasks,304,2520,0,11.222
GET,/api/v1/tasks,304,2520,0,9.486
